Product,Detection,Additional_Information,Technique
ExtraHop,CVE-2020-10189 Zoho ManageEngine Exploit,cve_2020_10189,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-11651 Salt Exploit Attempt,cve_2020_11651,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1212: Exploitation for Credential Access"
ExtraHop,CVE-2020-11901 Ripple20 Exploit Attempt,ripple20_dns_rce,"T1203: Exploitation for Client Execution, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-12695 UPnP Exploit Attempt,cve_2020_12695,"T1046: Network Service Scanning, T1048: Exfiltration Over Alternative Protocol, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1498: Network Denial of Service"
ExtraHop,CVE-2020-1301 SMBv1 Exploit,cve_2020_1301,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-1350 SIGRed Exploit Attempt,cve_2020_1350,"T1203: Exploitation for Client Execution, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-1472 Zerologon Exploit Attempt,cve_2020_1472_exploit,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-1472 Zerologon Scan,cve_2020_1472,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-15505 MobileIron Core and Connector Exploit Attempt,cve_2020_15505,T1190: Exploit Public-Facing Application
ExtraHop,CVE-2020-16898 Windows TCP/IP Stack Exploit Attempt,cve_2020_16898,T1210: Exploitation of Remote Services
ExtraHop,CVE-2020-16899 Windows TCP/IP Stack Exploit Attempt,cve_2020_16899,"T1210: Exploitation of Remote Services, T1499: Endpoint Denial of Service"
ExtraHop,CVE-2020-17051 Windows NFS Exploit Attempt,cve_2020_17051,"T1135: Network Share Discovery, T1529: System Shutdown/Reboot"
ExtraHop,CVE-2020-1938 Ghostcat Exploit,cve_2020_1938,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-25577 FreeBSD Exploit Attempt,cve_2020_25577,T1210: Exploitation of Remote Services
ExtraHop,CVE-2020-25583 FreeBSD Exploit Attempt,cve_2020_25583,T1210: Exploitation of Remote Services
ExtraHop,CVE-2020-3952 VMware vCenter Exploit,cve_2020_3952,T1210: Exploitation of Remote Services
ExtraHop,CVE-2020-5902 F5 BIG-IP Exploit,cve_2020_5902,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-6207 SAP Solution Manager Exploit Attempt,cve_2020_6207,"T1018: Remote System Discovery, T1068: Exploitation for Privilege Escalation, T1127: Trusted Developer Utilities Proxy Execution, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2020-6287 SAP RECON Vulnerability,cve_2020_6287,"T1133: External Remote Services, T1136: Create Account, T1190: Exploit Public-Facing Application"
ExtraHop,CVE-2020-7247 OpenSMTPD Exploit,cve_2020_7247,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-1497 Cisco HyperFlex HX Exploit Attempt,cve_2021_1497,"T1059: Command and Scripting Interpreter, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-1498 Cisco HyperFlex HX Exploit Attempt,cve_2021_1498,"T1059: Command and Scripting Interpreter, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-21972 VMware vCenter Exploit,cve_2021_21972_exploit,"T1210: Exploitation of Remote Services, T1505: Server Software Component"
ExtraHop,CVE-2021-21972 VMware vCenter Scan,cve_2021_21972_scan,T1046: Network Service Scanning
ExtraHop,CVE-2021-21974 VMware ESXi OpenSLP Exploit Attempt,cve_2021_21974,"T1046: Network Service Scanning, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-21985 VMware vCenter Exploit,cve_2021_21985,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services, T1505: Server Software Component"
ExtraHop,CVE-2021-22005 VMware vCenter Exploit,cve_2021_22005,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-22006 VMware vCenter Exploit,cve_2021_22006,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-22205 GitLab CE and EE Exploit Attempt,cve_2021_22205,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-22893 Pulse Connect Secure Exploit Attempt,cve_2021_22893,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-22986 F5 BIG-IP and BIG-IQ Exploit,cve_2021_22986,"T1059: Command and Scripting Interpreter, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-22991 F5 BIG-IP Exploit,cve_2021_22991,"T1005: Data from Local System, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1499: Endpoint Denial of Service, T1529: System Shutdown/Reboot"
ExtraHop,CVE-2021-26084 Atlassian Confluence Exploit Attempt,cve_2021_26084,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-26432 Windows NFS ONCRPC Exploit Attempt,cve_2021_26432,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-26877 Windows DNS Server Exploit Attempt,cve_2021_26877,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-26897 Windows DNS Server Exploit Attempt,cve_2021_26897,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-28324 Windows 10 SMBv3 Exploit,cve_2021_28324,T1133: External Remote Services
ExtraHop,CVE-2021-31166 Windows HTTP Stack Exploit Attempt,cve_2021_31166,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-31181 Microsoft SharePoint Exploit Attempt,cve_2021_31181,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1212: Exploitation for Credential Access, T1213: Data from Information Repositories"
ExtraHop,CVE-2021-34467 Microsoft SharePoint Exploit Attempt,cve_2021_34467,"T1505: Server Software Component, T1546: Event Triggered Execution"
ExtraHop,CVE-2021-34473 Microsoft Exchange Server Exploit,cve_2021_34473,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-34527 Windows Print Spooler Exploit Attempt,cve_2021_34527,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-35394 Realtek SDK Exploit Attempt,cve_2021_35394,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-35395 Realtek SDK Exploit Attempt,cve_2021_35395,T1210: Exploitation of Remote Services
ExtraHop,CVE-2021-38647 OMIGOD Exploit,cve_2021_38647,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-42321 Microsoft Exchange Exploit Attempt,cve_2021_42321,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2021-43798 Grafana Exploit Attempt,cve_2021_43798,T1190: Exploit Public-Facing Application
ExtraHop,CVE-2021-44077 Zoho ManageEngine Exploit Attempt,cve_2021_44077,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2022-0543 Redis Exploit,cve_2022_0543,"T1059: Command and Scripting Interpreter, T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services, T1211: Exploitation for Defense Evasion"
ExtraHop,CVE-2022-1388 F5 BIG-IP Exploit,cve_2022_1388,"T1059: Command and Scripting Interpreter, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2022-21907 Windows HTTP Stack Exploit Attempt,cve_2022_21907,"T1210: Exploitation of Remote Services, T1499: Endpoint Denial of Service"
ExtraHop,CVE-2022-22947 Spring Cloud Gateway Exploit Attempt,cve_2022_22947,T1190: Exploit Public-Facing Application
ExtraHop,CVE-2022-22954 VMware Workspace ONE Access and Identity Manager Exploit Attempt,cve_2022_22954,T1210: Exploitation of Remote Services
ExtraHop,CVE-2022-22963 Spring Cloud Function Exploit Attempt,cve_2022_22963,T1190: Exploit Public-Facing Application
ExtraHop,CVE-2022-22965 Spring4Shell Exploit Attempt,spring4shell,T1190: Exploit Public-Facing Application
ExtraHop,CVE-2022-26134 Atlassian Confluence Exploit,cve_2022_26134,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2022-26923 Active Directory Domain Services Exploit Attempt,cve_2022_26923,"T1068: Exploitation for Privilege Escalation, T1078: Valid Accounts, T1550: Use Alternate Authentication Material"
ExtraHop,CVE-2022-30190 Follina Exploit Attempt,cve_2022_30190,"T1203: Exploitation for Client Execution, T1204: User Execution"
ExtraHop,Data Exfiltration,data_exfiltration,"T1011: Exfiltration Over Other Network Medium, T1020: Automated Exfiltration, T1029: Scheduled Transfer, T1030: Data Transfer Size Limits, T1041: Exfiltration Over C2 Channel, T1048: Exfiltration Over Alternative Protocol, T1567: Exfiltration Over Web Service"
ExtraHop,Data Exfiltration to S3 Bucket,abnormal_s3_upload,"T1537: Transfer Data to Cloud Account, T1567: Exfiltration Over Web Service"
ExtraHop,Data Exfiltration to Unknown S3 Bucket,unknown_s3_bucket_upload,"T1537: Transfer Data to Cloud Account, T1567: Exfiltration Over Web Service"
ExtraHop,Database Brute Force,database_brute_force,T1110: Brute Force
ExtraHop,Database Data Staging,abnormally_large_database_response,"T1048: Exfiltration Over Alternative Protocol, T1114: Email Collection"
ExtraHop,Database Enumeration,database_enumeration,T1213: Data from Information Repositories
ExtraHop,Database Takeover Attack,database_takeover,T1569: System Services
ExtraHop,Database Transaction Failures,database_transaction_failures,T1110: Brute Force
ExtraHop,DCOM Remote Command Launch,dcom_lateral_movement,T1021: Remote Services
ExtraHop,DCShadow Attack,dcshadow,T1207: Rogue Domain Controller
ExtraHop,DCSync Attack,dcsync,T1003: OS Credential Dumping
ExtraHop,Delayed Citrix Data Transfer,delayed_citrix_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Data Transfer,delayed_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Database Data Transfer,delayed_database_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Email Data Transfer,delayed_email_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed HTTP Data Transfer,delayed_http_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Kerberos Data Transfer,delayed_kerberos_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed LDAP Data Transfer,delayed_ldap_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Memcache Data Transfer,delayed_memcache_data_transfer,T1498: Network Denial of Service
ExtraHop,Delayed Redis Data Transfer,delayed_redis_data_transfer,T1498: Network Denial of Service
ExtraHop,DGA Domain Queries,domain_generation_algorithm_unresolved,T1568: Dynamic Resolution
ExtraHop,DGA Domain Resolution,domain_generation_algorithm_resolved,T1568: Dynamic Resolution
ExtraHop,DNS Brute Force,dns_brute_force,T1018: Remote System Discovery
ExtraHop,DNS Internal Reverse Lookup Scan,dns_internal_reverse_lookup_scan,T1018: Remote System Discovery
ExtraHop,DNS Request for a Cryptocurrency Mining Pool,cryptomining_pool_dns_request,T1496: Resource Hijacking
ExtraHop,DNS Request Timeouts,dns_request_timeouts,"T1498: Network Denial of Service, T1499: Endpoint Denial of Service"
ExtraHop,DNS Request to a Suspicious Host,ti_dns_host,"T1189: Drive-by Compromise, T1566: Phishing"
ExtraHop,DNS Timeouts,dns_timeouts,"T1498: Network Denial of Service, T1499: Endpoint Denial of Service"
ExtraHop,DNS Tunnel,dns_tunnel,"T1030: Data Transfer Size Limits, T1048: Exfiltration Over Alternative Protocol"
ExtraHop,DNS Zone Transfer,dns_zone_transfer,T1016: System Network Configuration Discovery
ExtraHop,Domain Admin Enumeration,samr_domain_admin_enum,T1087: Account Discovery
ExtraHop,Domain Controller Enumeration,msrpc_domain_controller_enumeration,T1018: Remote System Discovery
ExtraHop,Domain Fronting,domain_fronting,T1090: Proxy
ExtraHop,Domain Generation Algorithm,domain_generation_algorithm,T1568: Dynamic Resolution
ExtraHop,Domain Group Enumeration,samr_domain_group_enum,T1069: Permission Groups Discovery
ExtraHop,Domain Trust Enumeration,domain_trust_enumeration,T1482: Domain Trust Discovery
ExtraHop,Domain Trusts Enumeration,domain_trusts_enumeration,T1482: Domain Trust Discovery
ExtraHop,Domain User Enumeration,samr_domain_user_enum,T1087: Account Discovery
ExtraHop,Domain Workstation Enumeration,ldap_all_workstation_enum,T1018: Remote System Discovery
ExtraHop,Domain Workstation Enumeration,samr_domain_computer_enum,T1018: Remote System Discovery
ExtraHop,Domain Workstation Enumeration,samr_domain_workstation_enum,T1018: Remote System Discovery
ExtraHop,DoublePulsar RDP Implant,doublepulsar_rdp_implant,"T1001: Data Obfuscation, T1071: Application Layer Protocol, T1105: Ingress Tool Transfer, T1132: Data Encoding, T1573: Encrypted Channel"
ExtraHop,DoublePulsar RDP Scan,doublepulsar_rdp_scan,T1046: Network Service Scanning
ExtraHop,DoublePulsar SMB/CIFS Implant Activity,doublepulsar_smb_implant,"T1001: Data Obfuscation, T1071: Application Layer Protocol, T1105: Ingress Tool Transfer, T1132: Data Encoding, T1573: Encrypted Channel"
ExtraHop,DoublePulsar SMB/CIFS Scan,doublepulsar_smb_scan,T1046: Network Service Scanning
ExtraHop,Drupal Exploit Attempt,cve_2018_7600,T1190: Exploit Public-Facing Application
ExtraHop,Empire C&C HTTP Connection,empire_c2_http,T1071: Application Layer Protocol
ExtraHop,Empire C&C SSL/TLS Connection,empire_c2_tls,T1071: Application Layer Protocol
ExtraHop,EternalBlue Exploit,eternalblue_exploit,T1210: Exploitation of Remote Services
ExtraHop,File Transfer to Windows Autostart Path,smb_autostart_path,"T1021: Remote Services, T1547: Boot or Logon Autostart Execution, T1570: Lateral Tool Transfer"
ExtraHop,FTP Brute Force,ftp_brute_force,T1110: Brute Force
ExtraHop,FTP Brute Force with Successful Login,ftp_brute_force_success_login,T1110: Brute Force
ExtraHop,FTP Data Staging,suspicious_ftp_data_reads,"T1039: Data from Network Shared Drive, T1114: Email Collection"
ExtraHop,FTP Not Logged in Error,ftp_not_logged_in_error,T1110: Brute Force
ExtraHop,Group Member Enumeration,msrpc_group_member_enum,T1069: Permission Groups Discovery
ExtraHop,Group Policy Preferences (GPP) Password Enumeration,gpp_password_enumeration,T1552: Unsecured Credentials
ExtraHop,HTTP Desync Attack,http_desync_attack,T1210: Exploitation of Remote Services
ExtraHop,HTTP Gateway Timeout Error,http_gateway_timeout_error,"T1498: Network Denial of Service, T1499: Endpoint Denial of Service"
ExtraHop,HTTP Request to a Suspicious Host,ti_http_host,"T1041: Exfiltration Over C2 Channel, T1189: Drive-by Compromise, T1566: Phishing, T1573: Encrypted Channel"
ExtraHop,HTTP Request to a Suspicious URI,ti_http_uri,"T1189: Drive-by Compromise, T1566: Phishing"
ExtraHop,HTTP Tunnel,potential_covert_channel,T1001: Data Obfuscation
ExtraHop,ICMP Tunnel,icmp_tunnel,T1095: Non-Application Layer Protocol
ExtraHop,Impacket SMBExec Activity,impacket_smbexec,"T1021: Remote Services, T1569: System Services"
ExtraHop,Impacket WMIExec Activity,impacket_wmiexec,"T1021: Remote Services, T1047: Windows Management Instrumentation"
ExtraHop,Inbound Connection from a Cobalt Strike IP Address,inbound_cobalt_strike_connection,T1071: Application Layer Protocol
ExtraHop,Inbound Connection from a Cobalt Strike IP Address,inbound_cobalt_strike_connection_individual,T1071: Application Layer Protocol
ExtraHop,Inbound Connection from a Tor Node,inbound_tor_connection_individual,T1090: Proxy
ExtraHop,Inbound Tor Node Connections,inbound_tor_connection,T1090: Proxy
ExtraHop,Interrupted Citrix Data Transfer,interrupted_citrix_data_transfer,T1498: Network Denial of Service
ExtraHop,Kaseya VSA Activity,kaseya_vsa,"T1195: Supply Chain Compromise, T1486: Data Encrypted for Impact, T1490: Inhibit System Recovery"
ExtraHop,Kerberos Attack Tool Activity,kerberos_attack_tool_activity,"T1021: Remote Services, T1078: Valid Accounts, T1550: Use Alternate Authentication Material"
ExtraHop,Kerberos Brute Force,kerberos_brute_force,T1110: Brute Force
ExtraHop,Kerberos Golden Ticket Attack,kerberos_golden_ticket_attack,"T1078: Valid Accounts, T1550: Use Alternate Authentication Material, T1558: Steal or Forge Kerberos Tickets"
ExtraHop,Kerberos Revoked Credentials Errors,kerberos_revoked_credentials_errors,"T1110: Brute Force, T1531: Account Access Removal"
ExtraHop,Kerberos Silver Ticket Attack,kerberos_silver_ticket_attack,"T1078: Valid Accounts, T1550: Use Alternate Authentication Material, T1558: Steal or Forge Kerberos Tickets"
ExtraHop,Kerberos User Enumeration,kerberos_user_enumeration,T1087: Account Discovery
ExtraHop,Kerberos Wrong Password Errors,kerberos_wrong_password_errors,"T1110: Brute Force, T1531: Account Access Removal"
ExtraHop,LDAP Computer Enumeration,ldap_computer_enum,T1018: Remote System Discovery
ExtraHop,LDAP GPO Enumeration,ldap_gpo_enumeration,T1615: Group Policy Discovery
ExtraHop,LDAP Invalid Credentials Error,ldap_invalid_credentials_error,"T1110: Brute Force, T1531: Account Access Removal"
ExtraHop,LDAP SPN Scan,ldap_spn_scan,T1087: Account Discovery
ExtraHop,LDAP Wildcard Query,ldap_client_any_attribute_enum,T1087: Account Discovery
ExtraHop,LLMNR Poisoning,llmnr_poisoning,T1557: Man-in-the-Middle
ExtraHop,Local Admin Enumeration,samr_local_admin_enum,T1069: Permission Groups Discovery
ExtraHop,Local User Enumeration,samr_local_user_enum,T1087: Account Discovery
ExtraHop,Log4Shell JNDI Injection Attempt,cve_2021_44228_jndi_injection_attempt,T1190: Exploit Public-Facing Application
ExtraHop,Logged-On User Enumeration,msrpc_loggedon_user_enum,T1033: System Owner/User Discovery
ExtraHop,Metasploit C&C SSL/TLS Connection,msf_cert,"T1071: Application Layer Protocol, T1572: Protocol Tunneling"
ExtraHop,Meterpreter C&C Session,meterpreter_shell,"T1071: Application Layer Protocol, T1572: Protocol Tunneling"
ExtraHop,Microsoft Exchange Server SSRF and RCE Exploit,ms_exchange_ssrf_rce,"T1068: Exploitation for Privilege Escalation, T1078: Valid Accounts, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1505: Server Software Component"
ExtraHop,Multiple Email Errors,multiple_email_errors,T1566: Phishing
ExtraHop,Multiple Kerberos Authentication Errors,multiple_kerberos_auth_errors,T1110: Brute Force
ExtraHop,Multiple LDAP Auth Errors,multiple_ldap_auth_errors,T1110: Brute Force
ExtraHop,NBT-NS Poisoning,nbt_ns_poisoning,T1557: Man-in-the-Middle
ExtraHop,Network Privilege Escalation,network_privilege_escalation,T1021: Remote Services
ExtraHop,Network Share Enumeration,msrpc_network_share_enum,T1135: Network Share Discovery
ExtraHop,New Active Directory Web Service (ADWS) Activity,new_adws_activity,T1021: Remote Services
ExtraHop,New DHCP Activity,new_dhcp_activity,T1557: Man-in-the-Middle
ExtraHop,New DNS over HTTPS (DoH) Activity,new_doh_activity,T1573: Encrypted Channel
ExtraHop,New External IoT Connection,new_iot_connection,T1041: Exfiltration Over C2 Channel
ExtraHop,New External LDAP Connection,new_external_ldap_connection,"T1040: Network Sniffing, T1041: Exfiltration Over C2 Channel, T1048: Exfiltration Over Alternative Protocol, T1071: Application Layer Protocol"
ExtraHop,New External NFS Connection,new_external_nfs_connection,T1201: Password Policy Discovery
ExtraHop,New External RDP Connection,new_external_rdp_connection,T1219: Remote Access Software
ExtraHop,New External SSH Connection,new_external_ssh_connection,T1219: Remote Access Software
ExtraHop,New Outbound SOCKS Connection,outbound_socks_connection,T1090: Proxy
ExtraHop,New Printer Driver Installation Request,add_printer_driver,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,New SMB/CIFS Executable File Transfer,new_smb_cifs_file_transfer,"T1080: Taint Shared Content, T1570: Lateral Tool Transfer"
ExtraHop,New SSH Device,external_ssh_new_device,"T1021: Remote Services, T1200: Hardware Additions"
ExtraHop,New WMI Enumeration Query,wmi_enumeration_query,"T1047: Windows Management Instrumentation, T1082: System Information Discovery"
ExtraHop,New WMI Method Launch,wmi_activity,"T1021: Remote Services, T1047: Windows Management Instrumentation, T1210: Exploitation of Remote Services"
ExtraHop,New WMI Process Creation,wmi_create_process,"T1021: Remote Services, T1047: Windows Management Instrumentation, T1210: Exploitation of Remote Services"
ExtraHop,New WSMan Remote Administration Activity,new_wsman_remote_administration_activity,"T1059: Command and Scripting Interpreter, T1569: System Services"
ExtraHop,NFS Data Staging,suspicious_nfs_data_reads,"T1039: Data from Network Shared Drive, T1114: Email Collection"
ExtraHop,Non-standard HTTP Port,suspicious_http_port,T1571: Non-Standard Port
ExtraHop,NTLM Relay Attack,ntlm_relay,T1557: Man-in-the-Middle
ExtraHop,NTLMv1 Authentication,ntlmv1_authentication,T1557: Man-in-the-Middle
ExtraHop,NTLMv1 Authentication,ntlmv1_authentication_individual,T1557: Man-in-the-Middle
ExtraHop,Oracle WebLogic Administration Console Exploit Attempt,weblogic_admin_console_handle_rce,T1190: Exploit Public-Facing Application
ExtraHop,Oracle WebLogic Deserialization Exploit Attempt,weblogic_xml_deserialization,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,Oracle WebLogic Exploit,cve_2019_2725,T1556: Modify Authentication Process
ExtraHop,Outbound Connection to a Cobalt Strike IP Address,outbound_cobalt_strike_connection,T1071: Application Layer Protocol
ExtraHop,Outbound Connection to a Tor Node,outbound_tor_connection,T1090: Proxy
ExtraHop,Outbound Log4Shell Activity,cve_2021_44228_outbound_activity,T1190: Exploit Public-Facing Application
ExtraHop,Outbound SSH Traffic to an Unusual Location,ssh_unusual_location_c2,T1021: Remote Services
ExtraHop,Overlapping IP Fragmentation,excessive_ip_fragmentation,T1562: Impair Defenses
ExtraHop,Overwhelmed Citrix Data Transfer,overwhelmed_citrix_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed Data Transfer,overwhelmed_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed Database Data Transfer,overwhelmed_database_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed Email Data Transfer,overwhelmed_email_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed FTP Data Transfer,overwhelmed_ftp_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed HTTP Data Transfer,overwhelmed_http_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed Kerberos Data Transfer,overwhelmed_kerberos_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed LDAP Data Transfer,overwhelmed_ldap_data_transfer,T1499: Endpoint Denial of Service
